"AU","Auther","Detail"
"本家Undertale","Toby Fox","Undyne the Undying"
"Ink!Sans Fight 0.39","Crosu","Phase3 True Genocide!Asgore Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Ultimatale Alphys Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Storyswap Color Asriel Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Disbelief Papyrus Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Rosetale Muffet Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Altertale Toriel Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 OverSave-Tale Mettaton NEO Yes GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Ultimatale Undyne EX Yes GKey"
"OverSave-Tale 0.4.4","FDY","Flowey"
